rank,domain,company_name,country,sector
131,alibabagroup.com,"Alibaba Group","People's Republic of China","Retail & E-commerce"
132,alihealth.cn,"Alibaba Health","People's Republic of China","Other"
133,alinma.com,"Alinma Bank","Saudi Arabia","Banking & Finance"
134,atmc.com.sa,"Alinma Tokio Marine Co.","Saudi Arabia","Other"
135,alizzislamic.com,"Alizz Islamic Bank","Oman","Banking & Finance"
136,alkathiriholding.com,"Alkathiri Holding","Saudi Arabia","Other"
137,alkemlabs.com,"Alkem Laboratories","India","Healthcare"
138,alkhaleej.com.sa,"Alkhaleej Training and Education Co.","Saudi Arabia","Other"
139,alkindo.co.id,"Alkindo Naratama","Indonesia","Other"
140,alkylamines.com,"Alkyl Amines Chemicals","India","Other"
141,ana.co.jp,"All Nippon Airways","Japan","Other"
142,alliancefinance.lk,"Alliance Finance","Sri Lanka","Banking & Finance"
143,allianzsaudifransi.com,"Allianz Saudi Fransi Cooperative Insurance Co.","Saudi Arabia","Insurance"
144,allianz.com,"Allianz SE","Germany","Insurance"
145,abl.com,"Allied Bank Limited","Pakistan","Banking & Finance"
146,acig.com.sa,"Allied Cooperative Insurance Group","Saudi Arabia","Insurance"
147,allot.com,"Allot Ltd","Israel","Media & Entertainment"
148,yongcheng.com,"Alltrust Insurance Company Limited","People's Republic of China","Insurance"
149,agmk.uz,"Almalyk mining and metallurgical complex","Uzbekistan","Other"
150,almarai.com,"Almarai Company","Saudi Arabia","Other"
151,almast.am,"Almast","Armenia","Other"
152,bsi.co.il,"Alon Blue Square Israel Ltd","Israel","Retail & E-commerce"
153,alonusa.com,"Alon USA","Israel","Energy & Utilities"
154,alony-hetz.com,"Alony Hetz Properties & Investments Ltd.","Israel","Other"
155,aloqabank.uz,"Aloqabank","Uzbekistan","Banking & Finance"
156,alpen-group.jp,"Alpen","Japan","Other"
157,gdalpha.com,"Alpha Group Company","People's Republic of China","Other"
158,alpinedevbank.com.np,"Alpine Development Bank Limited","Nepal","Banking & Finance"
159,alps-logistics.jp,"Alps Logistics","Japan","Transportation & Logistics"
160,alrajhibank.com.sa,"Alrajhi Bank","Saudi Arabia","Banking & Finance"
161,alrov.co.il,"Alrov Properties & Lodgings Ltd.","Israel","Critical Infrastructure"
162,alsglobal.com,"ALS Limited","Australia","Other"
163,as-invest.co.il,"Altshuler Shaham","Israel","Insurance"
164,aluminalimited.com,"Alumina Limited","Australia","Other"
165,alumindo.com,"Alumindo Light Metal Industry","Indonesia","Other"
166,alunnatubes.com,"Aluminiumwerk Unna AG","Germany","Other"
167,chalco.com.cn,"Aluminum Corporation of China","People's Republic of China","Other"
168,alvarion.com,"Alvarion","Israel","Technology"
169,amagroupltd.com,"AMA GROUP LIMITED","Australia","Other"
170,amada.co.jp,"Amada Co","Japan","Other"
171,amanet.co.il,"Amanet Management & Systems Ltd.","Israel","Other"
172,amayaresorts.com,"Amaya Resorts & Spas","Sri Lanka","Healthcare"
173,amcor.com,"Amcor","Australia","Other"
174,americanexpress.com,"American Express","United Kingdom","Banking & Finance"
175,amscasa.com,"American Shipping Company","Norway","Energy & Utilities"
176,amidar.co.il,"Amidar The Israeli National Public Housing Company","Israel","Other"
177,amira.net,"Amira Nature Foods","United Arab Emirates","Other"
178,amman.co.id,"Amman Mineral Internasional","Indonesia","Energy & Utilities"
179,amorepacific.com,"Amorepacific Corporation","South Korea","Other"
180,apgroup.com,"Amorepacific Holdings","South Korea","Other"
181,amot.co.il,"Amot Investments Ltd.","Israel","Other"
182,amp.com.au,"AMP Limited","Australia","Banking & Finance"
183,ampa.co.il,"AMPA","Israel","Banking & Finance"
184,amplifon.com,"Amplifon","United Kingdom","Other"
185,ampol.com.au,"Ampol","Australia","Energy & Utilities"
186,amuse.co.jp,"Amuse","Japan","Other"
187,ana.co.jp,"ANA Holdings","Japan","Other"
188,anaamgroup.com,"Anaam International Holding Group","Saudi Arabia","Other"
189,anabatic.com,"Anabatic Technologies","Indonesia","Technology"
190,anabuki.ne.jp,"Anabuki Kosan","Japan","Other"
191,aname.co.kr,"Anam Electronics","South Korea","Other"
192,ancorair.com,"Ancora Indonesia Resources","Indonesia","Other"
193,ansa-land.com,"Andalan Sakti Primaindo","Indonesia","Critical Infrastructure"
194,amcon.com,"Andatee China Marine Fuel","People's Republic of China","Other"
195,andiraagro.com,"Andira Agro","Indonesia","Other"
196,antam.com,"Aneka Tambang","Indonesia","Other"
197,ansteel.com.cn,"Angang Steel Company","People's Republic of China","Other"
198,angelyeast.com,"Angel Yeast","People's Republic of China","Other"
199,anges.co.jp,"AnGes","Japan","Healthcare"
200,ap1.co.id,"Angkasa Pura I","Indonesia","Other"
201,angkasapura2.co.id,"Angkasa Pura II","Indonesia","Other"
202,angloamericanplatinum.com,"Anglo American Platinum","South Africa","Energy & Utilities"
203,anglogoldashanti.com,"AngloGold Ashanti","South Africa","Energy & Utilities"
204,conch.cn,"Anhui Conch Cement Co."," Ltd.","People's Republic of China"
205,helichina.com,"Anhui Heli","People's Republic of China","Other"
206,ankai.com,"Ankai","People's Republic of China","Transportation & Logistics"
207,anker.com,"Anker","People's Republic of China","Technology"
208,aankhukholahydropower.com.np,"Ankhu Khola Jalvidhyut Company Limited","Nepal","Other"
209,anritsu.com,"Anritsu","Japan","Telecommunications"
210,ansell.com,"Ansell","Australia","Healthcare"
211,anta.com,"Anta","China","Other"
212,akku.co.id,"Anugerah Kagum Karya Utama","Indonesia","Other"
213,anycolor.co.jp,"AnyColor","Japan","Other"
214,apa.com.au,"APA Group","Australia","Other"
215,apexindo.com,"Apexindo Pratama Duta","Indonesia","Energy & Utilities"
216,apollo-power.com,"Apollo Power Ltd","Israel","Other"
217,apollotyres.com,"Apollo Tyres","India","Other"
218,appen.com,"Appen","Australia","Other"
219,apple.com,"Apple Israel","Israel","Other"
220,schnell.kr,"Aprogen Biologics","South Korea","Other"
221,aquariusengines.com,"Aquarius Engines (A.m) Ltd","Israel","Other"
222,anb.com.sa,"Arab National Bank","Saudi Arabia","Banking & Finance"
223,aicc.com.sa,"Arabia Insurance Cooperative Co.","Saudi Arabia","Insurance"
224,arabiacement.com,"Arabian Cement Co.","Saudi Arabia","Other"
225,arabian-pipes.com,"Arabian Pipes Co.","Saudi Arabia","Other"
226,arabianshield.com,"Arabian Shield Cooperative Insurance Company","Saudi Arabia","Insurance"
227,arad.co.il,"Arad Ltd.","Israel","Other"
228,arultd.com,"Arafura Rare Earths","Australia","Other"
229,aarambhamf.com.np,"Arambha Microfinance Bittiya Sanstha Ltd.","Nepal","Banking & Finance"
230,araratbank.am,"Araratbank","Armenia","Banking & Finance"
231,arcadis.com,"Arcadis","Netherlands","Other"
232,arcelik.com.tr,"Arçelik","Turkey","Technology"
233,arcs-g.co.jp,"Arcs","Japan","Other"
234,arghakarya.com,"Argha Karya Prima Ind","Indonesia","Other"
235,argoinvestments.com.au,"Argo Investments","Australia","Banking & Finance"
236,argo.co.id,"Argo Pantes","Indonesia","Other"
237,argosyminerals.com.au,"ARGOSY MINERALS LIMITED","Australia","Other"
238,aristocrat.com,"Aristocrat Leisure","Australia","Other"
239,arita.co.id,"Arita Prima Indonesia","Indonesia","Other"
240,arkadiacorp.com,"Arkadia Digital Media","Indonesia","Technology"
241,arkhajayanti.co.id,"Arkha Jayanti Persada","Indonesia","Other"
242,armadaberjaya.com,"Armada Berjaya Trans","Indonesia","Critical Infrastructure"
243,aeb.am,"Armeconombank","Armenia","Other"
244,armidian.co.id,"Armidian Karyatama","Indonesia","Critical Infrastructure"
245,arpa-sevan.am,"Arpa-Sevan","Armenia","Other"
246,arribatec.no,"Arribatec","Norway","Other"
247,arrium.com,"Arrium","Australia","Energy & Utilities"
248,riyadh.dev,"Arriyadh Development Co.","Saudi Arabia","Other"
249,arthavest.com,"Arthavest","Indonesia","Other"
250,artnature.co.jp,"Artnature","Japan","Other"
251,aryogen.com,"AryoGen","Iran","Healthcare"
252,corp.asahi.co.jp,"Asahi Broadcasting Group Holdings","Japan","Media & Entertainment"
253,asahigroup-holdings.com,"Asahi Group Holdings","Japan","Retail & E-commerce"
254,asahi-kasei.co.jp,"Asahi Kasei","Japan","Other"
255,amfg.co.id,"Asahimas Flat Glass","Indonesia","Other"
256,asahipen.jp,"Asahipen","Japan","Other"
257,keystoneglobal.co.kr,"Ascendio Co. Ltd","South Korea","Other"
258,sinadholding.com,"Aseer Trading","Saudi Arabia","Other"
259,ashamicrofinance.com.np,"Asha Laghubitta Bittiya Sanstha Ltd.","Nepal","Banking & Finance"
260,arf.co.il,"Ashdod Refinery","Israel","Other"
261,ashmoregroup.com,"Ashmore Asset Management Indonesia","Indonesia","Other"
262,ashokleyland.com,"Ashok Leyland","India","Transportation & Logistics"
263,ashot.co.il,"Ashot - Ashkelon Industries Ltd.","Israel","Defence & Security"
264,ashtrom.co.il,"Ashtrom Group Ltd","Israel","Other"
265,ashtrom-properties.co.il,"Ashtrom Properties","Israel","Other"
266,asiaalliedgroup.com,"Asia Allied Infrastructure Holdings Limited","Hong Kong","Other"
267,asiamedia.jp,"Asia Media","Japan","Other"
268,asiapacificfibers.com,"Asia Pacific Fibers","Indonesia","Other"
269,apinvestama.co.id,"Asia Pacific Investama","Indonesia","Other"
270,aptg.com.tw,"Asia Pacific Telecom","Taiwan","Telecommunications"
271,asiamina.com,"Asia Sejahtera Mina","Indonesia","Other"
272,asiacell.com,"AsiaCell","Iraq","Telecommunications"
273,adb.org,"Asian Development Bank","Philippines","Other"
274,flyasiana.com,"Asiana Airlines","South Korea","Other"
275,asics.com,"ASICS","Germany","Other"
276,askul.co.jp,"Askul Corporation","Japan","Other"
277,asmpt.com,"ASMPT","People's Republic of China","Other"
278,asos.com,"ASOS","United Kingdom","Other"
279,agvb.bank.in,"Assam Gramin Bank","India","Banking & Finance"
280,generali.com,"Assicurazioni Generali","Italy","Insurance"
281,1100.com.au,"Association of Australian Dial Before You Dig Services Limited","Australia","Other"
282,astellas.com,"Astellas Pharma","Japan","Healthcare"
283,astra-agro.co.id,"Astra Agro Lestari","Indonesia","Other"
284,astragraphia.co.id,"Astra Graphia","Indonesia","Technology"
285,astraindustries.com.sa,"Astra Industrial Group","Saudi Arabia","Other"
286,astra.co.id,"Astra International","Indonesia","Transportation & Logistics"
287,component.astra.co.id,"Astra Otoparts","Indonesia","Other"
288,astralltd.com,"Astral","India","Other"
289,astrindonusantara.com,"Astrindo Nusantara Infrastruktur","Indonesia","Energy & Utilities"
290,asue-group.com,"Asue","Japan","Other"
291,aaconst.co.jp,"Asunaro Aoki Construction","Japan","Other"
292,abda.co.id,"Asuransi Bina Dana Arta","Indonesia","Insurance"
293,asuransibintang.com,"Asuransi Bintang","Indonesia","Banking & Finance"
294,asuransidayinmitra.com,"Asuransi Dayin Mitra","Indonesia","Banking & Finance"
295,asuransi-harta.co.id,"Asuransi Harta Aman Pratama","Indonesia","Banking & Finance"
296,jastan.co.id,"Asuransi Jasa Tania","Indonesia","Banking & Finance"
297,sinarmasmsiglife.co.id,"Asuransi Jiwa Sinarmas MSIG","Indonesia","Banking & Finance"
298,jmasyariah.com,"Asuransi Jiwa Syariah Jasa Mitra Abadi","Indonesia","Banking & Finance"
299,kresnainsurance.com,"Asuransi Kresna Mitra","Indonesia","Banking & Finance"
300,mag.co.id,"Asuransi Multi Artha Guna","Indonesia","Banking & Finance"
301,tugu.com,"Asuransi Tugu Pratama Indonesia","Indonesia","Banking & Finance"
302,asus.com.cn,"Asus (China)","People's Republic of China","Other"
303,finergy.a-tm.co.jp,"Ateam Finergy Inc.","Japan","Technology"
304,a-tm.co.jp,"Ateam Holdings","Japan","Other"
305,atecmobility.com,"Atec Mobility","South Korea","Other"
306,atmindoboiler.com,"Ateliers Mecaniques D'Indonesie","Indonesia","Other"
307,atlasmara.com,"Atlas Mara Limited","United Arab Emirates","Banking & Finance"
308,atlas-coal.co.id,"Atlas Resources","Indonesia","Energy & Utilities"
309,atlassian.com,"Atlassian","Australia","Technology"
310,audiocodes.com,"Audiocodes Ltd.","Israel","Technology"
311,aug-wind.com,"Augwind Energy Tech Storage Ltd","Israel","Other"
312,auo.com,"AUO Corporation","Taiwan","Technology"
313,auraisrael.co.il,"Aura Investments Ltd.","Israel","Critical Infrastructure"
314,aureliametals.com,"AURELIA METALS LIMITED","Australia","Other"
315,aurizon.com.au,"Aurizon","Australia","Transportation & Logistics"
